FIPS,Name,total_pop,hisp_pop,hisp_perc
19103002300,"Census Tract 23, Johnson County, Iowa",4797,120,2.5
19103010100,"Census Tract 101, Johnson County, Iowa",7115,57,0.8
19103010200,"Census Tract 102, Johnson County, Iowa",4746,0,0.0
19103010301,"Census Tract 103.01, Johnson County, Iowa",10418,589,5.7
19103010302,"Census Tract 103.02, Johnson County, Iowa",12697,747,5.9
19103010400,"Census Tract 104, Johnson County, Iowa",6812,239,3.5
19103010500,"Census Tract 105, Johnson County, Iowa",7464,678,9.1
19105070100,"Census Tract 701, Jones County, Iowa",4356,68,1.6
19105070300,"Census Tract 703, Jones County, Iowa",4714,146,3.1
19105070400,"Census Tract 704, Jones County, Iowa",4761,57,1.2
19105070500,"Census Tract 705, Jones County, Iowa",2519,24,1.0
19105070600,"Census Tract 706, Jones County, Iowa",4257,12,0.3
19107080100,"Census Tract 801, Keokuk County, Iowa",2121,39,1.8
19107080200,"Census Tract 802, Keokuk County, Iowa",2477,22,0.9
19107080300,"Census Tract 803, Keokuk County, Iowa",2966,68,2.3
19107080400,"Census Tract 804, Keokuk County, Iowa",2797,7,0.3
19109950100,"Census Tract 9501, Kossuth County, Iowa",2346,37,1.6
19109950200,"Census Tract 9502, Kossuth County, Iowa",2463,41,1.7
19109950300,"Census Tract 9503, Kossuth County, Iowa",2265,34,1.5
19109950400,"Census Tract 9504, Kossuth County, Iowa",2739,96,3.5
19109950500,"Census Tract 9505, Kossuth County, Iowa",3363,23,0.7
19109950600,"Census Tract 9506, Kossuth County, Iowa",2171,30,1.4
19111490100,"Census Tract 4901, Lee County, Iowa",4295,134,3.1
19111490200,"Census Tract 4902, Lee County, Iowa",4572,329,7.2
19111490300,"Census Tract 4903, Lee County, Iowa",2140,17,0.8
19111490400,"Census Tract 4904, Lee County, Iowa",2792,45,1.6
19111490500,"Census Tract 4905, Lee County, Iowa",3451,36,1.0
19111490600,"Census Tract 4906, Lee County, Iowa",3477,7,0.2
19111490700,"Census Tract 4907, Lee County, Iowa",4524,148,3.3
19111490800,"Census Tract 4908, Lee County, Iowa",2333,33,1.4
19111490900,"Census Tract 4909, Lee County, Iowa",2236,147,6.6
19111491000,"Census Tract 4910, Lee County, Iowa",2207,83,3.8
19111491100,"Census Tract 4911, Lee County, Iowa",3525,175,5.0
19113000100,"Census Tract 1, Linn County, Iowa",12758,112,0.9
19113000201,"Census Tract 2.01, Linn County, Iowa",5672,113,2.0
19113000203,"Census Tract 2.03, Linn County, Iowa",7751,6,0.1
19113000205,"Census Tract 2.05, Linn County, Iowa",4226,0,0.0
19113000206,"Census Tract 2.06, Linn County, Iowa",7568,163,2.2
19113000207,"Census Tract 2.07, Linn County, Iowa",5665,351,6.2
19113000300,"Census Tract 3, Linn County, Iowa",5748,188,3.3
19113000400,"Census Tract 4, Linn County, Iowa",5078,167,3.3
19113000500,"Census Tract 5, Linn County, Iowa",6159,186,3.0
19113000600,"Census Tract 6, Linn County, Iowa",3150,49,1.6
19113000700,"Census Tract 7, Linn County, Iowa",2254,186,8.3
19113000800,"Census Tract 8, Linn County, Iowa",4797,370,7.7
19113000901,"Census Tract 9.01, Linn County, Iowa",5354,95,1.8
19113000902,"Census Tract 9.02, Linn County, Iowa",6080,352,5.8
19113001001,"Census Tract 10.01, Linn County, Iowa",4336,98,2.3
19113001002,"Census Tract 10.02, Linn County, Iowa",3404,98,2.9
19113001003,"Census Tract 10.03, Linn County, Iowa",6841,506,7.4
19113001101,"Census Tract 11.01, Linn County, Iowa",4310,61,1.4
19113001102,"Census Tract 11.02, Linn County, Iowa",3487,147,4.2
19113001200,"Census Tract 12, Linn County, Iowa",1559,116,7.4
19113001300,"Census Tract 13, Linn County, Iowa",3515,49,1.4
19113001400,"Census Tract 14, Linn County, Iowa",3470,63,1.8
19113001500,"Census Tract 15, Linn County, Iowa",3002,35,1.2
19113001600,"Census Tract 16, Linn County, Iowa",5502,73,1.3
19113001700,"Census Tract 17, Linn County, Iowa",5955,224,3.8
